"PARTICIPANTID","variable","Rating","Type","Instrument","Mode","Background","Gender"
"MKHHSN0808191330","VPARP MJ",2,"Arpeg","Piano","Major","Khow","Male"
"MKHISL0808191645","VPARP MJ",5,"Arpeg","Piano","Major","Khow","Male"
"MKANS2607191200","VPARP MJ",3,"Arpeg","Piano","Major","Kalash","Male"
"MKAAKH2707191615","VPARP MJ",3,"Arpeg","Piano","Major","Kalash","Male"
"MKASZD3007190930","VPARP MJ",3,"Arpeg","Piano","Major","Kalash","Male"
"MKHISQ0708191130","VPARP MJ",3,"Arpeg","Piano","Major","Khow","Male"
"MKHZHR1008191230","VPARP MJ",4,"Arpeg","Piano","Major","Khow","Male"
"MKHWL1108191030","VPARP MJ",2,"Arpeg","Piano","Major","Khow","Male"
"MKHMHD0808191100","VPARP MJ",3,"Arpeg","Piano","Major","Khow","Male"
"MKARMD0408190945","VPARP MJ",3,"Arpeg","Piano","Major","Kalash","Male"
"MKHNZR1908191345","VPARP MJ",4,"Arpeg","Piano","Major","Khow","Male"
"MKHISF1408191130","VPARP MJ",3,"Arpeg","Piano","Major","Khow","Male"
"MKHRFQ1308191515","VPARP MJ",3,"Arpeg","Piano","Major","Khow","Male"
"UK629335_1","VPARP MJ",4,"Arpeg","Piano","Major","UK","Male"
"UK337940_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK395228_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK523822_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"UK123046_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK499949_1","VPARP MJ",4,"Arpeg","Piano","Major","UK","Male"
"UK464301_1","VPARP MJ",5,"Arpeg","Piano","Major","UK","Male"
"UK361432_2","VPARP MJ",3,"Arpeg","Piano","Major","UK","Female"
"UK440729_2","VPARP MJ",3,"Arpeg","Piano","Major","UK","Female"
"UK386152_1","VPARP MJ",3,"Arpeg","Piano","Major","UK","Male"
"UK468521_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"UK490419_1","VPARP MJ",4,"Arpeg","Piano","Major","UK","Male"
"UK207435_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK130640_1","VPARP MJ",2,"Arpeg","Piano","Major","UK","Male"
"UK328998_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK822095_1","VPARP MJ",5,"Arpeg","Piano","Major","UK","Male"
"UK797077_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK81875_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK647420_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK149852_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"UK716863_1","VPARP MJ",3,"Arpeg","Piano","Major","UK","Male"
"UK338720_2","VPARP MJ",2,"Arpeg","Piano","Major","UK","Female"
"UK477753_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"UK734747_1","VPARP MJ",4,"Arpeg","Piano","Major","UK","Male"
"UK632976_1","VPARP MJ",4,"Arpeg","Piano","Major","UK","Male"
"UK559939_1","VPARP MJ",2,"Arpeg","Piano","Major","UK","Male"
"UK787801_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK249638_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"UK349080_1","VPARP MJ",4,"Arpeg","Piano","Major","UK","Male"
"UK774380_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"UK819618_1","VPARP MJ",5,"Arpeg","Piano","Major","UK","Male"
"UK40395_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"UK192527_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"UK668521_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK581636_2","VPARP MJ",5,"Arpeg","Piano","Major","UK","Female"
"UK812201_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"UK553917_1","VPARP MJ",4,"Arpeg","Piano","Major","UK","Male"
"UK328873_1","VPARP MJ",5,"Arpeg","Piano","Major","UK","Male"
"UK869688_1","VPARP MJ",4,"Arpeg","Piano","Major","UK","Male"
"UK31600_2","VPARP MJ",4,"Arpeg","Piano","Major","UK","Female"
"MKATLM2407191050","VPARP MN",5,"Arpeg","Piano","Minor","Kalash","Male"
"MKAJRD2507191630","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"MKAAR0108191730","VPARP MN",1,"Arpeg","Piano","Minor","Kalash","Male"
"MKASRD0208191600","VPARP MN",5,"Arpeg","Piano","Minor","Kalash","Male"
"MKAMRJ0308191400","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"FKASHR0408191530","VPARP MN",5,"Arpeg","Piano","Minor","Kalash","Female"
"MKAFD2707191400","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"MKHMHM1308191130","VPARP MN",2,"Arpeg","Piano","Minor","Khow","Male"
"MKHABD1508191700","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"MKHMHD1808191600","VPARP MN",5,"Arpeg","Piano","Minor","Khow","Male"
"MKHSHD0608191600","VPARP MN",3,"Arpeg","Piano","Minor","Khow","Male"
"MKAHRV0308190930","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"MKASH2407191700","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"MKAHJZ3107191030","VPARP MN",5,"Arpeg","Piano","Minor","Kalash","Male"
"MKHTNV2008191100","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"MKHSFL1008191600","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"MKAIKB0208190900","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"MKHAHT0908191130","VPARP MN",5,"Arpeg","Piano","Minor","Khow","Male"
"MKHKMT1708191330","VPARP MN",3,"Arpeg","Piano","Minor","Khow","Male"
"MKHMSF1808191730","VPARP MN",2,"Arpeg","Piano","Minor","Khow","Male"
"MKATRQ0108191500","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"MKARD2607191000","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"MKAZRMT3107191600","VPARP MN",2,"Arpeg","Piano","Minor","Kalash","Male"
"MKHIHS0908191430","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"FKAGL0308191700","VPARP MN",3,"Arpeg","Piano","Minor","Kalash","Female"
"MKAZUD0208191230","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"MKHHSN0808191330","VPARP MN",2,"Arpeg","Piano","Minor","Khow","Male"
"MKHISL0808191645","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"MKANS2607191200","VPARP MN",3,"Arpeg","Piano","Minor","Kalash","Male"
"MKAAKH2707191615","VPARP MN",5,"Arpeg","Piano","Minor","Kalash","Male"
"MKASZD3007190930","VPARP MN",5,"Arpeg","Piano","Minor","Kalash","Male"
"MKHISQ0708191130","VPARP MN",5,"Arpeg","Piano","Minor","Khow","Male"
"MKHZHR1008191230","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"MKHWL1108191030","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"MKHMHD0808191100","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"MKARMD0408190945","VPARP MN",4,"Arpeg","Piano","Minor","Kalash","Male"
"MKHNZR1908191345","VPARP MN",5,"Arpeg","Piano","Minor","Khow","Male"
"MKHISF1408191130","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"MKHRFQ1308191515","VPARP MN",4,"Arpeg","Piano","Minor","Khow","Male"
"UK629335_1","VPARP MN",3,"Arpeg","Piano","Minor","UK","Male"
"UK337940_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"UK395228_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"UK523822_2","VPARP MN",2,"Arpeg","Piano","Minor","UK","Female"
"UK123046_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"UK499949_1","VPARP MN",4,"Arpeg","Piano","Minor","UK","Male"
"UK464301_1","VPARP MN",3,"Arpeg","Piano","Minor","UK","Male"
"UK361432_2","VPARP MN",2,"Arpeg","Piano","Minor","UK","Female"
"UK440729_2","VPARP MN",3,"Arpeg","Piano","Minor","UK","Female"
"UK386152_1","VPARP MN",4,"Arpeg","Piano","Minor","UK","Male"
"UK468521_2","VPARP MN",3,"Arpeg","Piano","Minor","UK","Female"
"UK490419_1","VPARP MN",5,"Arpeg","Piano","Minor","UK","Male"
"UK207435_2","VPARP MN",2,"Arpeg","Piano","Minor","UK","Female"
"UK130640_1","VPARP MN",3,"Arpeg","Piano","Minor","UK","Male"
"UK328998_2","VPARP MN",3,"Arpeg","Piano","Minor","UK","Female"
"UK822095_1","VPARP MN",5,"Arpeg","Piano","Minor","UK","Male"
"UK797077_2","VPARP MN",4,"Arpeg","Piano","Minor","UK","Female"
"UK81875_2","VPARP MN",4,"Arpeg","Piano","Minor","UK","Female"
"UK647420_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"UK149852_2","VPARP MN",4,"Arpeg","Piano","Minor","UK","Female"
"UK716863_1","VPARP MN",3,"Arpeg","Piano","Minor","UK","Male"
"UK338720_2","VPARP MN",3,"Arpeg","Piano","Minor","UK","Female"
"UK477753_2","VPARP MN",4,"Arpeg","Piano","Minor","UK","Female"
"UK734747_1","VPARP MN",4,"Arpeg","Piano","Minor","UK","Male"
"UK632976_1","VPARP MN",4,"Arpeg","Piano","Minor","UK","Male"
"UK559939_1","VPARP MN",2,"Arpeg","Piano","Minor","UK","Male"
"UK787801_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"UK249638_2","VPARP MN",4,"Arpeg","Piano","Minor","UK","Female"
"UK349080_1","VPARP MN",4,"Arpeg","Piano","Minor","UK","Male"
"UK774380_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"UK819618_1","VPARP MN",5,"Arpeg","Piano","Minor","UK","Male"
"UK40395_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"UK192527_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"UK668521_2","VPARP MN",3,"Arpeg","Piano","Minor","UK","Female"
"UK581636_2","VPARP MN",3,"Arpeg","Piano","Minor","UK","Female"
"UK812201_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"UK553917_1","VPARP MN",3,"Arpeg","Piano","Minor","UK","Male"
"UK328873_1","VPARP MN",4,"Arpeg","Piano","Minor","UK","Male"
"UK869688_1","VPARP MN",4,"Arpeg","Piano","Minor","UK","Male"
"UK31600_2","VPARP MN",5,"Arpeg","Piano","Minor","UK","Female"
"MKATLM2407191050","VPARP AUG",3,"Arpeg","Piano","Augm","Kalash","Male"
"MKAJRD2507191630","VPARP AUG",5,"Arpeg","Piano","Augm","Kalash","Male"
"MKAAR0108191730","VPARP AUG",2,"Arpeg","Piano","Augm","Kalash","Male"
"MKASRD0208191600","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKAMRJ0308191400","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"FKASHR0408191530","VPARP AUG",3,"Arpeg","Piano","Augm","Kalash","Female"
"MKAFD2707191400","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKHMHM1308191130","VPARP AUG",3,"Arpeg","Piano","Augm","Khow","Male"
"MKHABD1508191700","VPARP AUG",3,"Arpeg","Piano","Augm","Khow","Male"
"MKHMHD1808191600","VPARP AUG",4,"Arpeg","Piano","Augm","Khow","Male"
"MKHSHD0608191600","VPARP AUG",5,"Arpeg","Piano","Augm","Khow","Male"
"MKAHRV0308190930","VPARP AUG",2,"Arpeg","Piano","Augm","Kalash","Male"
"MKASH2407191700","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKAHJZ3107191030","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKHTNV2008191100","VPARP AUG",2,"Arpeg","Piano","Augm","Khow","Male"
"MKHSFL1008191600","VPARP AUG",3,"Arpeg","Piano","Augm","Khow","Male"
"MKAIKB0208190900","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKHAHT0908191130","VPARP AUG",5,"Arpeg","Piano","Augm","Khow","Male"
"MKHKMT1708191330","VPARP AUG",3,"Arpeg","Piano","Augm","Khow","Male"
"MKHMSF1808191730","VPARP AUG",5,"Arpeg","Piano","Augm","Khow","Male"
"MKATRQ0108191500","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKARD2607191000","VPARP AUG",2,"Arpeg","Piano","Augm","Kalash","Male"
"MKAZRMT3107191600","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKHIHS0908191430","VPARP AUG",3,"Arpeg","Piano","Augm","Khow","Male"
"FKAGL0308191700","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Female"
"MKAZUD0208191230","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKHHSN0808191330","VPARP AUG",3,"Arpeg","Piano","Augm","Khow","Male"
"MKHISL0808191645","VPARP AUG",4,"Arpeg","Piano","Augm","Khow","Male"
"MKANS2607191200","VPARP AUG",2,"Arpeg","Piano","Augm","Kalash","Male"
"MKAAKH2707191615","VPARP AUG",3,"Arpeg","Piano","Augm","Kalash","Male"
"MKASZD3007190930","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKHISQ0708191130","VPARP AUG",3,"Arpeg","Piano","Augm","Khow","Male"
"MKHZHR1008191230","VPARP AUG",3,"Arpeg","Piano","Augm","Khow","Male"
"MKHWL1108191030","VPARP AUG",4,"Arpeg","Piano","Augm","Khow","Male"
"MKHMHD0808191100","VPARP AUG",4,"Arpeg","Piano","Augm","Khow","Male"
"MKARMD0408190945","VPARP AUG",4,"Arpeg","Piano","Augm","Kalash","Male"
"MKHNZR1908191345","VPARP AUG",4,"Arpeg","Piano","Augm","Khow","Male"
"MKHISF1408191130","VPARP AUG",2,"Arpeg","Piano","Augm","Khow","Male"
"MKHRFQ1308191515","VPARP AUG",3,"Arpeg","Piano","Augm","Khow","Male"
"UK629335_1","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Male"
"UK337940_2","VPARP AUG",2,"Arpeg","Piano","Augm","UK","Female"
"UK395228_2","VPARP AUG",5,"Arpeg","Piano","Augm","UK","Female"
"UK523822_2","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Female"
"UK123046_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"UK499949_1","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Male"
"UK464301_1","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Male"
"UK361432_2","VPARP AUG",2,"Arpeg","Piano","Augm","UK","Female"
"UK440729_2","VPARP AUG",2,"Arpeg","Piano","Augm","UK","Female"
"UK386152_1","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Male"
"UK468521_2","VPARP AUG",2,"Arpeg","Piano","Augm","UK","Female"
"UK490419_1","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Male"
"UK207435_2","VPARP AUG",2,"Arpeg","Piano","Augm","UK","Female"
"UK130640_1","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Male"
"UK328998_2","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Female"
"UK822095_1","VPARP AUG",5,"Arpeg","Piano","Augm","UK","Male"
"UK797077_2","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Female"
"UK81875_2","VPARP AUG",2,"Arpeg","Piano","Augm","UK","Female"
"UK647420_2","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Female"
"UK149852_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"UK716863_1","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Male"
"UK338720_2","VPARP AUG",2,"Arpeg","Piano","Augm","UK","Female"
"UK477753_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"UK734747_1","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Male"
"UK632976_1","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Male"
"UK559939_1","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Male"
"UK787801_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"UK249638_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"UK349080_1","VPARP AUG",2,"Arpeg","Piano","Augm","UK","Male"
"UK774380_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"UK819618_1","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Male"
"UK40395_2","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Female"
"UK192527_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"UK668521_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"UK581636_2","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Female"
"UK812201_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"UK553917_1","VPARP AUG",3,"Arpeg","Piano","Augm","UK","Male"
"UK328873_1","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Male"
"UK869688_1","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Male"
"UK31600_2","VPARP AUG",4,"Arpeg","Piano","Augm","UK","Female"
"MKATLM2407191050","VPARP CRM",2,"Arpeg","Piano","Chrom","Kalash","Male"
"MKAJRD2507191630","VPARP CRM",2,"Arpeg","Piano","Chrom","Kalash","Male"
"MKAAR0108191730","VPARP CRM",4,"Arpeg","Piano","Chrom","Kalash","Male"
"MKASRD0208191600","VPARP CRM",3,"Arpeg","Piano","Chrom","Kalash","Male"
"MKAMRJ0308191400","VPARP CRM",3,"Arpeg","Piano","Chrom","Kalash","Male"
"FKASHR0408191530","VPARP CRM",4,"Arpeg","Piano","Chrom","Kalash","Female"
"MKAFD2707191400","VPARP CRM",2,"Arpeg","Piano","Chrom","Kalash","Male"
"MKHMHM1308191130","VPARP CRM",3,"Arpeg","Piano","Chrom","Khow","Male"
"MKHABD1508191700","VPARP CRM",3,"Arpeg","Piano","Chrom","Khow","Male"
"MKHMHD1808191600","VPARP CRM",3,"Arpeg","Piano","Chrom","Khow","Male"
"MKHSHD0608191600","VPARP CRM",2,"Arpeg","Piano","Chrom","Khow","Male"
"MKAHRV0308190930","VPARP CRM",4,"Arpeg","Piano","Chrom","Kalash","Male"
"MKASH2407191700","VPARP CRM",3,"Arpeg","Piano","Chrom","Kalash","Male"
"MKAHJZ3107191030","VPARP CRM",4,"Arpeg","Piano","Chrom","Kalash","Male"
"MKHTNV2008191100","VPARP CRM",1,"Arpeg","Piano","Chrom","Khow","Male"
"MKHSFL1008191600","VPARP CRM",1,"Arpeg","Piano","Chrom","Khow","Male"
"MKAIKB0208190900","VPARP CRM",2,"Arpeg","Piano","Chrom","Kalash","Male"
"MKHAHT0908191130","VPARP CRM",4,"Arpeg","Piano","Chrom","Khow","Male"
"MKHKMT1708191330","VPARP CRM",4,"Arpeg","Piano","Chrom","Khow","Male"
"MKHMSF1808191730","VPARP CRM",4,"Arpeg","Piano","Chrom","Khow","Male"
"MKATRQ0108191500","VPARP CRM",2,"Arpeg","Piano","Chrom","Kalash","Male"
"MKARD2607191000","VPARP CRM",1,"Arpeg","Piano","Chrom","Kalash","Male"
"MKAZRMT3107191600","VPARP CRM",4,"Arpeg","Piano","Chrom","Kalash","Male"
"MKHIHS0908191430","VPARP CRM",4,"Arpeg","Piano","Chrom","Khow","Male"
"FKAGL0308191700","VPARP CRM",4,"Arpeg","Piano","Chrom","Kalash","Female"
"MKAZUD0208191230","VPARP CRM",5,"Arpeg","Piano","Chrom","Kalash","Male"
"MKHHSN0808191330","VPARP CRM",4,"Arpeg","Piano","Chrom","Khow","Male"
"MKHISL0808191645","VPARP CRM",3,"Arpeg","Piano","Chrom","Khow","Male"
"MKANS2607191200","VPARP CRM",2,"Arpeg","Piano","Chrom","Kalash","Male"
"MKAAKH2707191615","VPARP CRM",3,"Arpeg","Piano","Chrom","Kalash","Male"
"MKASZD3007190930","VPARP CRM",4,"Arpeg","Piano","Chrom","Kalash","Male"
"MKHISQ0708191130","VPARP CRM",1,"Arpeg","Piano","Chrom","Khow","Male"
"MKHZHR1008191230","VPARP CRM",3,"Arpeg","Piano","Chrom","Khow","Male"
"MKHWL1108191030","VPARP CRM",3,"Arpeg","Piano","Chrom","Khow","Male"
"MKHMHD0808191100","VPARP CRM",4,"Arpeg","Piano","Chrom","Khow","Male"
"MKARMD0408190945","VPARP CRM",2,"Arpeg","Piano","Chrom","Kalash","Male"
"MKHNZR1908191345","VPARP CRM",3,"Arpeg","Piano","Chrom","Khow","Male"
"MKHISF1408191130","VPARP CRM",1,"Arpeg","Piano","Chrom","Khow","Male"
"MKHRFQ1308191515","VPARP CRM",4,"Arpeg","Piano","Chrom","Khow","Male"
"UK629335_1","VPARP CRM",1,"Arpeg","Piano","Chrom","UK","Male"
"UK337940_2","VPARP CRM",2,"Arpeg","Piano","Chrom","UK","Female"
"UK395228_2","VPARP CRM",5,"Arpeg","Piano","Chrom","UK","Female"
"UK523822_2","VPARP CRM",2,"Arpeg","Piano","Chrom","UK","Female"
"UK123046_2","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Female"
"UK499949_1","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Male"
"UK464301_1","VPARP CRM",2,"Arpeg","Piano","Chrom","UK","Male"
"UK361432_2","VPARP CRM",2,"Arpeg","Piano","Chrom","UK","Female"
"UK440729_2","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Female"
"UK386152_1","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Male"
"UK468521_2","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Female"
"UK490419_1","VPARP CRM",2,"Arpeg","Piano","Chrom","UK","Male"
"UK207435_2","VPARP CRM",2,"Arpeg","Piano","Chrom","UK","Female"
"UK130640_1","VPARP CRM",2,"Arpeg","Piano","Chrom","UK","Male"
"UK328998_2","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Female"
"UK822095_1","VPARP CRM",5,"Arpeg","Piano","Chrom","UK","Male"
"UK797077_2","VPARP CRM",2,"Arpeg","Piano","Chrom","UK","Female"
"UK81875_2","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Female"
"UK647420_2","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Female"
"UK149852_2","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Female"
"UK716863_1","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Male"
"UK338720_2","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Female"
"UK477753_2","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Female"
"UK734747_1","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Male"
"UK632976_1","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Male"
"UK559939_1","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Male"
"UK787801_2","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Female"
"UK249638_2","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Female"
"UK349080_1","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Male"
"UK774380_2","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Female"
"UK819618_1","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Male"
"UK40395_2","VPARP CRM",5,"Arpeg","Piano","Chrom","UK","Female"
"UK192527_2","VPARP CRM",1,"Arpeg","Piano","Chrom","UK","Female"
"UK668521_2","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Female"
"UK581636_2","VPARP CRM",2,"Arpeg","Piano","Chrom","UK","Female"
"UK812201_2","VPARP CRM",5,"Arpeg","Piano","Chrom","UK","Female"
"UK553917_1","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Male"
"UK328873_1","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Male"
"UK869688_1","VPARP CRM",3,"Arpeg","Piano","Chrom","UK","Male"
"UK31600_2","VPARP CRM",4,"Arpeg","Piano","Chrom","UK","Female"
"MKATLM2407191050","VSCH MJ",2,"Chord","Setar","Major","Kalash","Male"
"MKAJRD2507191630","VSCH MJ",2,"Chord","Setar","Major","Kalash","Male"
"MKAAR0108191730","VSCH MJ",2,"Chord","Setar","Major","Kalash","Male"
"MKASRD0208191600","VSCH MJ",1,"Chord","Setar","Major","Kalash","Male"
"MKAMRJ0308191400","VSCH MJ",2,"Chord","Setar","Major","Kalash","Male"
"FKASHR0408191530","VSCH MJ",4,"Chord","Setar","Major","Kalash","Female"
"MKAFD2707191400","VSCH MJ",4,"Chord","Setar","Major","Kalash","Male"
"MKHMHM1308191130","VSCH MJ",1,"Chord","Setar","Major","Khow","Male"
"MKHABD1508191700","VSCH MJ",2,"Chord","Setar","Major","Khow","Male"
"MKHMHD1808191600","VSCH MJ",1,"Chord","Setar","Major","Khow","Male"
"MKHSHD0608191600","VSCH MJ",4,"Chord","Setar","Major","Khow","Male"
"MKAHRV0308190930","VSCH MJ",2,"Chord","Setar","Major","Kalash","Male"
"MKASH2407191700","VSCH MJ",3,"Chord","Setar","Major","Kalash","Male"
"MKAHJZ3107191030","VSCH MJ",2,"Chord","Setar","Major","Kalash","Male"
"MKHTNV2008191100","VSCH MJ",1,"Chord","Setar","Major","Khow","Male"
"MKHSFL1008191600","VSCH MJ",2,"Chord","Setar","Major","Khow","Male"
"MKAIKB0208190900","VSCH MJ",3,"Chord","Setar","Major","Kalash","Male"
"MKHAHT0908191130","VSCH MJ",3,"Chord","Setar","Major","Khow","Male"
"MKHKMT1708191330","VSCH MJ",1,"Chord","Setar","Major","Khow","Male"
"MKHMSF1808191730","VSCH MJ",3,"Chord","Setar","Major","Khow","Male"
"MKATRQ0108191500","VSCH MJ",4,"Chord","Setar","Major","Kalash","Male"
"MKARD2607191000","VSCH MJ",3,"Chord","Setar","Major","Kalash","Male"
"MKAZRMT3107191600","VSCH MJ",1,"Chord","Setar","Major","Kalash","Male"
"MKHIHS0908191430","VSCH MJ",3,"Chord","Setar","Major","Khow","Male"
"FKAGL0308191700","VSCH MJ",3,"Chord","Setar","Major","Kalash","Female"
"MKAZUD0208191230","VSCH MJ",1,"Chord","Setar","Major","Kalash","Male"
"MKHHSN0808191330","VSCH MJ",2,"Chord","Setar","Major","Khow","Male"
"MKHISL0808191645","VSCH MJ",2,"Chord","Setar","Major","Khow","Male"
"MKANS2607191200","VSCH MJ",3,"Chord","Setar","Major","Kalash","Male"
"MKAAKH2707191615","VSCH MJ",1,"Chord","Setar","Major","Kalash","Male"
"MKASZD3007190930","VSCH MJ",2,"Chord","Setar","Major","Kalash","Male"
"MKHISQ0708191130","VSCH MJ",3,"Chord","Setar","Major","Khow","Male"
"MKHZHR1008191230","VSCH MJ",3,"Chord","Setar","Major","Khow","Male"
"MKHWL1108191030","VSCH MJ",2,"Chord","Setar","Major","Khow","Male"
"MKHMHD0808191100","VSCH MJ",3,"Chord","Setar","Major","Khow","Male"
"MKARMD0408190945","VSCH MJ",3,"Chord","Setar","Major","Kalash","Male"
"MKHNZR1908191345","VSCH MJ",1,"Chord","Setar","Major","Khow","Male"
"MKHISF1408191130","VSCH MJ",1,"Chord","Setar","Major","Khow","Male"
"MKHRFQ1308191515","VSCH MJ",3,"Chord","Setar","Major","Khow","Male"
"UK629335_1","VSCH MJ",3,"Chord","Setar","Major","UK","Male"
"UK337940_2","VSCH MJ",4,"Chord","Setar","Major","UK","Female"
